Clinician code,Phase,Presentation order,Case code
CLINICIAN_01,Phase A,1,CASE_008
CLINICIAN_01,Phase A,2,CASE_002
CLINICIAN_01,Phase A,3,CASE_016
CLINICIAN_01,Phase A,4,CASE_004
CLINICIAN_01,Phase A,5,CASE_010
CLINICIAN_01,Phase A,6,CASE_017
CLINICIAN_01,Phase A,7,CASE_006
CLINICIAN_01,Phase A,8,CASE_011
CLINICIAN_01,Phase A,9,CASE_019
CLINICIAN_01,Phase A,10,CASE_018
CLINICIAN_01,Phase A,11,CASE_001
CLINICIAN_01,Phase A,12,CASE_005
CLINICIAN_01,Phase A,13,CASE_014
CLINICIAN_01,Phase A,14,CASE_015
CLINICIAN_01,Phase A,15,CASE_012
CLINICIAN_01,Phase A,16,CASE_020
CLINICIAN_01,Phase A,17,CASE_013
CLINICIAN_01,Phase A,18,CASE_003
CLINICIAN_01,Phase A,19,CASE_007
CLINICIAN_01,Phase A,20,CASE_009
CLINICIAN_01,Phase B,1,CASE_016
CLINICIAN_01,Phase B,2,CASE_020
CLINICIAN_01,Phase B,3,CASE_008
CLINICIAN_01,Phase B,4,CASE_009
CLINICIAN_01,Phase B,5,CASE_014
CLINICIAN_01,Phase B,6,CASE_015
CLINICIAN_01,Phase B,7,CASE_011
CLINICIAN_01,Phase B,8,CASE_006
CLINICIAN_01,Phase B,9,CASE_004
CLINICIAN_01,Phase B,10,CASE_002
CLINICIAN_01,Phase B,11,CASE_018
CLINICIAN_01,Phase B,12,CASE_017
CLINICIAN_01,Phase B,13,CASE_007
CLINICIAN_01,Phase B,14,CASE_003
CLINICIAN_01,Phase B,15,CASE_012
CLINICIAN_01,Phase B,16,CASE_001
CLINICIAN_01,Phase B,17,CASE_010
CLINICIAN_01,Phase B,18,CASE_013
CLINICIAN_01,Phase B,19,CASE_005
CLINICIAN_01,Phase B,20,CASE_019
CLINICIAN_02,Phase A,1,CASE_008
CLINICIAN_02,Phase A,2,CASE_002
CLINICIAN_02,Phase A,3,CASE_020
CLINICIAN_02,Phase A,4,CASE_013
CLINICIAN_02,Phase A,5,CASE_012
CLINICIAN_02,Phase A,6,CASE_014
CLINICIAN_02,Phase A,7,CASE_005
CLINICIAN_02,Phase A,8,CASE_015
CLINICIAN_02,Phase A,9,CASE_004
CLINICIAN_02,Phase A,10,CASE_018
CLINICIAN_02,Phase A,11,CASE_001
CLINICIAN_02,Phase A,12,CASE_003
CLINICIAN_02,Phase A,13,CASE_016
CLINICIAN_02,Phase A,14,CASE_009
CLINICIAN_02,Phase A,15,CASE_017
CLINICIAN_02,Phase A,16,CASE_010
CLINICIAN_02,Phase A,17,CASE_011
CLINICIAN_02,Phase A,18,CASE_007
CLINICIAN_02,Phase A,19,CASE_019
CLINICIAN_02,Phase A,20,CASE_006
CLINICIAN_02,Phase B,1,CASE_002
CLINICIAN_02,Phase B,2,CASE_017
CLINICIAN_02,Phase B,3,CASE_006
CLINICIAN_02,Phase B,4,CASE_001
CLINICIAN_02,Phase B,5,CASE_014
CLINICIAN_02,Phase B,6,CASE_015
CLINICIAN_02,Phase B,7,CASE_019
CLINICIAN_02,Phase B,8,CASE_020
CLINICIAN_02,Phase B,9,CASE_008
CLINICIAN_02,Phase B,10,CASE_009
CLINICIAN_02,Phase B,11,CASE_012
CLINICIAN_02,Phase B,12,CASE_005
CLINICIAN_02,Phase B,13,CASE_018
